NAME;RATING
A-10A;10.3
A-10A Late;10.7
A-10C;11.7
A-1H;6.3
A-20G-25;2.7
A-26B-10;5.0
A-26B-50;5.3
A-26C-45;5.3
A-26C-45DT;5.3
A-36;2.7
A-4B;8.7
A-4E Early;8.7
A-6E TRAM;10.7
A-7D;10.3
A-7E;10.7
A-7K;11.3
A2D-1;7.0
A6M2 (USA);3.7
AD-2;5.7
AD-4;6.0
AM-1;5.7
AU-1;5.7
AV-8A;9.7
AV-8B (NA);11.3
AV-8B Plus;13.0
AV-8C;9.7
B-10B;1.3
B-17E;4.7
B-17E/L;5.0
B-17G-60-VE;5.3
B-18A;1.3
B-24D-25-CO;5.7
B-25J-1;4.0
B-25J-20;4.0
B-26B;4.3
B-29A-BN;7.0
B-34;3.3
B-57A;8.3
B-57B;8.3
Bf 109 F-4 (USA);4.0
BF2C-1;1.0
Bong's P-38J-15;4.3
Bostwick's P-47M-1-RE;5.7
BTD-1;4.0
F-100D;9.3
F-104A;9.3
F-104C;9.3
F-105D;10.3
F-111A;10.7
F-111F;11.7
F-14A Early;12.7
F-14A IRIAF (USA);12.7
F-14B;13.0
F-15A;13.0
F-15C MSIP II;13.7
F-16A;12.7
F-16A ADF;12.7
F-16C;13.7
F-20A;12.7
F-4C Phantom II;10.3
F-4E Phantom II;11.3
F-4J Phantom II;12.0
F-4S Phantom II;12.0
F-5A;10.7
F-5C;10.7
F-5E;11.0
F-80A-5;7.0
F-80C-10;7.7
F-82E;5.3
F-84B-26;7.0
F-84F;8.3
F-84G-21-RE;7.7
F-86A-5;8.0
F-86F-2;8.7
F-86F-25;8.3
F-86F-35;8.3
F-89B;7.0
F-89D;7.0
F-8E;10.7
F11F-1;9.0
F2A-1;2.0
F2A-3;2.3
F2G-1;6.0
F2H-2;7.3
F3D-1;7.0
F3F-2;1.3
F3H-2;9.0
F4D-1;9.0
F4F-3;2.3
F4F-4;3.0
F4U-1A;2.7
F4U-1A (USMC);3.0
F4U-1C;4.7
F4U-1D;3.0
F4U-4;4.3
F4U-4B;5.7
F4U-4B VMF-214;5.7
F6F-5;3.3
F6F-5N;4.3
F7F-1;6.3
F7F-3;6.3
F8F-1;4.7
F8F-1B;6.3
F8U-2;10.3
F9F-2;8.0
F9F-5;8.0
F9F-8;8.3
FJ-4B;8.7
FJ-4B VMF-232;8.7
Fw 190 A-8 (USA);5.0
Galer's F3F-2;1.3
Ki-43-II (USA);2.7
Ki-61-Ib (USA);3.7
Kingcobra (USA);4.0
Lanovski's P-47M-1-RE;5.7
O3U-1;1.3
OS2U-1;1.0
OS2U-3;1.0
P-26A-33;1.0
P-26A-34;1.0
P-26A-34 M2;1.0
P-26B-35;1.0
P-36A;1.3
P-36C;1.7
P-36C (TheRussianBadger);1.7
P-36G;2.7
P-38E;3.0
P-38G-1;3.3
P-38J-15;4.3
P-38K;5.3
P-38L-5-LO;4.7
P-39N-0;2.7
P-39Q-5;2.7
P-400;2.0
P-40C;2.3
P-40E-1;2.7
P-40E-1 TD;2.7
P-40F-10;2.7
P-43A-1;2.7
P-47D-22-RE;3.7
P-47D-25;4.3
P-47D-28;5.0
P-47N-15;4.7
P-51;3.7
P-51A;3.0
P-51C-10;3.7
P-51D-10;4.3
P-51D-20-NA;4.0
P-51D-30;5.0
P-51D-5;4.0
P-51H-5-NA;6.3
P-59A;5.7
P-61A-11;3.7
P-61C-1;4.0
P-63A-10;4.0
P-63A-5;3.3
P-63C-5;4.0
PB4Y-2;4.7
PBJ-1H;3.7
PBJ-1J;3.7
PBM-1 Mariner;2.0
PBM-3 Mariner;3.0
PBM-5A Mariner;3.7
PBY-5 Catalina;1.3
PBY-5A Catalina;1.7
PV-2D;3.7
Rasmussen's P-36A;1.3
SB2C-1C;3.0
SB2C-4;3.7
SB2U-2;1.0
SB2U-3;1.7
SBD-3;2.0
SOC-1;1.3
Spitfire LF Mk IXc (USA);5.7
TBD-1;1.0
TBF-1C;1.7
Thach's F2A-1;2.0
XA-38;3.7
XF5F;2.3
XP-38G;3.3
XP-50;4.0
XP-55;4.3
YP-38;3.0
Attacker FB 1;7.0
Attacker FB.2;7.0
Avenger Mk II (Great Britain);1.7
Beaufighter Mk 21;3.7
Beaufighter Mk I (40-mm);2.3
Beaufighter Mk VIc;3.0
Beaufighter Mk X;3.0
Beaufort Mk VIII;1.7
Blenheim Mk IV;1.3
Boomerang Mk I (Great Britain);3.0
Boomerang Mk II (Great Britain);3.0
Boston Mk I (Great Britain);2.3
Brigand B 1;4.0
Buccaneer S.1;8.7
Buccaneer S.2;9.3
Buccaneer S.2B;10.7
Canberra B (I) Mk 6;8.3
Canberra B Mk 2;8.3
Catalina Mk IIIa (Great Britain);1.7
Corsair F Mk II (Great Britain);2.7
D.520 (Great Britain);3.0
D.521 (Great Britain);3.0
DB-7 (Great Britain);2.3
F-111C;11.7
F-4J(UK) Phantom II;12.0
Firebrand TF Mk IV;3.7
Firecrest;2.3
Firefly F Mk I;3.3
Firefly FR Mk V;3.7
Fury Mk I;1.0
Fury Mk II;1.0
Gladiator Mk II;1.3
Gladiator Mk IIF;1.3
Gladiator Mk IIS;1.3
Halifax B Mk IIIa;4.0
Hampden Mk I;1.7
Hampden TB Mk I;1.7
Harrier GR.1;9.7
Harrier GR.3;9.7
Harrier GR.7;12.3
Havoc Mk I (Great Britain);2.0
Hellcat Mk II (Great Britain);3.3
Hornet Mk.I;6.0
Hornet Mk.III;6.0
Hudson Mk V (Great Britain);2.0
Hunter F.1;9.0
Hunter F.6;9.7
Hunter FGA.9;9.3
Hurricane Mk I/L;2.3
Hurricane Mk IIB/Trop;2.3
Hurricane Mk IV;2.0
Hurricane Mk.I/L FAA M;2.3
Jaguar GR.1;9.7
Jaguar GR.1A;10.7
Jaguar IS;11.3
JAS39C (Great Britain);13.7
Javelin F.(A.W.) Mk.9;8.3
Lancaster B Mk I;5.3
Lancaster B Mk III;5.3
Lightning F.53;9.3
Lightning F.6;9.3
Lincoln B Mk II;6.0
Martlet Mk IV (Great Britain);2.7
MB.5;5.0
Meteor F Mk 3;7.3
Meteor F Mk 4 G.41F;7.7
Meteor F Mk 4 G.41G;8.0
Meteor F Mk.8 G.41K;8.0
Meteor F Mk.8 Reaper;8.0
MiG-21 Bison (Great Britain);12.3
Mosquito FB Mk VI;3.7
Mosquito FB Mk XVIII;3.0
Mustang Mk IA (Great Britain);3.7
Nimrod Mk I;1.0
Nimrod Mk II;1.0
Osprey Mk IV;1.0
Phantom FG.1;12.0
Phantom FGR.2;12.0
Plagis' Spitfire LF Mk IXc;5.7
Prendergast's Spitfire FR Mk XIVe;5.7
Scimitar F Mk.1;8.7
Sea Fury FB 11;5.7
Sea Gladiator Mk I;1.0
Sea Harrier FA 2;13.0
Sea Harrier FRS.1;11.0
Sea Harrier FRS.1 (e);10.7
Sea Hawk FGA.6;8.0
Sea Hurricane Mk IB;2.0
Sea Hurricane Mk IC;3.0
Sea Meteor F Mk 3;7.3
Sea Venom FAW 20;7.7
Sea Vixen F.A.W. Mk.2;9.0
Seafire F Mk XVII;5.3
Seafire FR 47;5.7
Seafire LF Mk.III;5.0
Shackleton MR.Mk.2;6.0
Spitfire F Mk 22;6.7
Spitfire F Mk 24;6.7
Spitfire F Mk IX;4.3
Spitfire F Mk IXc;4.7
Spitfire F Mk XIVc;5.7
Spitfire F Mk XIVe;5.7
Spitfire F Mk XVI;5.0
Spitfire F Mk XVIIIe;5.7
Spitfire LF Mk IX;5.7
Spitfire Mk Ia;3.0
Spitfire Mk IIa;3.0
Spitfire Mk IIb;3.7
Spitfire Mk Vb;4.0
Spitfire Mk Vb/trop;3.7
Spitfire Mk Vc;5.0
Spitfire Mk Vc/trop;4.7
Spitfire Mk.IIa Venture I;3.0
Stirling B Mk I;4.0
Stirling B Mk III;4.7
Strikemaster Mk.88;6.3
Sunderland Mk IIIa;1.7
Sunderland Mk V;2.0
Swift F.1;8.3
Swift F.7;8.7
Swordfish Mk I;1.0
Swordfish Mk II;1.0
Tempest Mk II;6.0
Tempest Mk V;5.7
Tempest Mk V (Vickers P);3.7
Thunderbolt Mk.1 (Great Britain);3.7
Tornado F.3;12.0
Tornado F.3 Late;13.3
Tornado GR.1;11.7
Tuck's Gladiator Mk II;1.0
Typhoon Mk Ia;3.0
Typhoon Mk Ib;4.3
Typhoon Mk Ib/L;4.3
V-156-B1;1.0
Vampire F.B.5;8.0
Venom FB.4;8.7
Walrus Mk.I;1.0
Wellington Mk Ic;2.3
Wellington Mk Ic/L;2.7
Wellington Mk III;3.0
Wellington Mk X;3.3
Whirlwind Mk I;3.7
Whirlwind P.9;3.7
Wirraway (Great Britain);1.3
Wyvern S4;4.3
Alpha Jet A;8.7
Ar 196 A-3;1.3
Ar 234 B-2;6.3
Ar 234 C-3;7.3
Bf 109 B-1;1.3
Bf 109 C-1;1.7
Bf 109 E-1;2.3
Bf 109 E-3;2.3
Bf 109 E-4;3.0
Bf 109 E-7/U2;3.0
Bf 109 F-1;2.7
Bf 109 F-2;3.0
Bf 109 F-4;4.0
Bf 109 F-4/trop;4.0
Bf 109 G-10;5.7
Bf 109 G-14;5.3
Bf 109 G-2;4.3
Bf 109 G-2/trop;4.3
Bf 109 G-6;4.7
Bf 109 K-4;5.7
Bf 109 Z-1;4.7
Bf 110 C-6;3.0
Bf 110 C-7;2.7
Bf 110 F-2;3.0
Bf 110 G-2;3.7
Bf 110 G-4;3.7
BV 138 C-1;1.7
BV 155 B-1;3.7
BV 238;3.7
C. 200 serie 3 (Germany);2.3
C. 200 serie 7 (Germany);2.3
C. 202 (Germany);3.0
CL-13A Mk 5 (Germany);8.7
CL-13B Mk.6 (Germany);9.0
CR.42 (Germany);1.3
Do 17 E-1;1.0
Do 17 Z-2;1.7
Do 17 Z-7;1.3
Do 217 E-2;4.3
Do 217 E-4;4.7
Do 217 J-1;2.0
Do 217 J-2;2.3
Do 217 K-1;4.7
Do 217 M-1;4.7
Do 217 N-1;2.3
Do 217 N-2;2.7
Do 335 A-0;4.7
Do 335 A-1;4.3
Do 335 B-2;5.7
F-104G (Germany);11.0
F-4F (Germany);11.0
F-4F Early (Germany);10.7
F-4F KWS LV (Germany);13.3
F-84F (Germany);8.3
F-86K (Germany);9.0
FFA P-16;9.0
Flegel's Bf 109 A;1.3
Fw 189 A-1;2.3
Fw 190 A-1;3.0
Fw 190 A-4;4.0
Fw 190 A-5;4.7
Fw 190 A-5/U12;4.7
Fw 190 A-5/U14;4.0
Fw 190 A-5/U2;4.0
Fw 190 A-8;5.0
Fw 190 C;5.0
Fw 190 D-12;5.0
Fw 190 D-13;5.0
Fw 190 D-9;5.0
Fw 190 F-8;5.0
Fw 200 C-1;2.0
G.50 AS serie 7 (Germany);1.7
G.50 serie 2 (Germany);1.7
G.91 R/3 (Germany);8.7
G.91 R/4 (Germany);8.7
Hawk H-75A-2 (Germany);2.7
He 100 D-1;1.7
He 111 H-16;3.0
He 111 H-3;2.0
He 111 H-6;2.7
He 112 A-0;1.7
He 112 B-0;2.0
He 112 B-1/U2 (Germany);2.0
He 112 B-2/U2;2.0
He 112 V-5;1.3
He 115 C-1;1.3
He 162 A-1;6.0
He 162 A-2;6.0
He 177 A-5;6.0
He 219 A-7;4.3
He 51 A-1;1.0
He 51 B-1;1.0
He 51 B-2/H;1.0
He 51 C-1;1.0
He 51 C-1/L;1.0
Ho 229 V3;7.0
Hs 123 A-1;1.0
Hs 129 B-2;2.3
Hs 129 B-2 (Romania);2.3
Hs 129 B-3;2.0
Hunter F.58 (Germany);9.7
IL-2 (1942) (Germany);3.0
IL-28 (Germany);8.0
Ju 188 A-2;5.3
Ju 288 C;6.0
Ju 388 J;4.3
Ju 87 B-2;1.0
Ju 87 D-3;2.0
Ju 87 D-5;3.3
Ju 87 G-1;1.3
Ju 87 G-2;1.7
Ju 87 R-2;1.3
Ju 87 R-2 Libya;1.3
Ju 88 A-1;2.0
Ju 88 A-4;3.0
Ju 88 C-6;2.3
La-5FN (Germany);3.7
Lim-5P (Germany);8.7
Marcolin's C.R.42 CN (Germany);1.3
Me 163 B;8.0
Me 163 B-0;8.7
Me 262 A-1/U4;6.3
Me 262 A-1a;7.0
Me 262 A-1a/Jabo;7.0
Me 262 A-1a/U1;7.3
Me 262 A-2a;6.7
Me 262 C-1a;7.3
Me 262 C-2b;8.0
Me 264;5.0
Me 410 A-1;3.3
Me 410 A-1/U2;3.7
Me 410 A-1/U4;2.7
Me 410 B-1;3.7
Me 410 B-1/U2;4.3
Me 410 B-2/U4;3.0
Me 410 B-6/R3;5.0
MiG-15bis (Germany);8.3
MiG-19S (Germany);9.3
MiG-21 Lazur-M (Germany);11.0
MiG-21 SPS-K (Germany);9.7
MiG-21bis-SAU (Germany);11.0
MiG-21MF (Germany);10.7
MiG-23BN (Germany);9.7
MiG-23MF (Germany);11.0
MiG-23MLA (Germany);11.7
MiG-29 (Germany);12.7
MiG-29G (Germany);13.0
P-47D (Germany);4.3
P-47D-16-RE (Germany);3.7
S.M.79 AS (Germany);2.3
S.M.79 B (Germany);2.3
